Zipcode;State;City;ZipCodeType;LocationType
10461;NY;PILGRIM;STANDARD;NOT ACCEPTABLE
10461;NY;WESTCHESTER;STANDARD;NOT ACCEPTABLE
10462;NY;BRONX;STANDARD;PRIMARY
10463;NY;BRONX;STANDARD;PRIMARY
10463;NY;RIVERDALE;STANDARD;NOT ACCEPTABLE
10463;NY;SPUYTEN DUYVIL;STANDARD;NOT ACCEPTABLE
10464;NY;BRONX;STANDARD;PRIMARY
10465;NY;BRONX;STANDARD;PRIMARY
10465;NY;THROGGS NECK;STANDARD;NOT ACCEPTABLE
10466;NY;BRONX;STANDARD;PRIMARY
10466;NY;WAKEFIELD;STANDARD;NOT ACCEPTABLE
10467;NY;BRONX;STANDARD;PRIMARY
10467;NY;ALLERTON;STANDARD;NOT ACCEPTABLE
10467;NY;MOSHOLU;STANDARD;NOT ACCEPTABLE
10467;NY;VAN COTT;STANDARD;NOT ACCEPTABLE
10467;NY;WILLIAMSBRIDGE;STANDARD;NOT ACCEPTABLE
10468;NY;BRONX;STANDARD;PRIMARY
10468;NY;JEROME;STANDARD;NOT ACCEPTABLE
10469;NY;BRONX;STANDARD;PRIMARY
10469;NY;BAYCHESTER;STANDARD;NOT ACCEPTABLE
10469;NY;ESPLANADE;STANDARD;NOT ACCEPTABLE
10469;NY;HILLSIDE;STANDARD;NOT ACCEPTABLE
10470;NY;BRONX;STANDARD;PRIMARY
10471;NY;BRONX;STANDARD;PRIMARY
10471;NY;RIVERDALE;STANDARD;NOT ACCEPTABLE
10472;NY;BRONX;STANDARD;PRIMARY
10473;NY;BRONX;STANDARD;PRIMARY
10474;NY;BRONX;STANDARD;PRIMARY
10474;NY;BOULEVARD;STANDARD;NOT ACCEPTABLE
10475;NY;BRONX;STANDARD;PRIMARY
10499;NY;BRONX;UNIQUE;PRIMARY
10499;NY;PRIORITY MAIL CTR;UNIQUE;NOT ACCEPTABLE
10001;NY;NEW YORK;STANDARD;PRIMARY
10001;NY;EMPIRE STATE;STANDARD;NOT ACCEPTABLE
10001;NY;G P O;STANDARD;NOT ACCEPTABLE
10001;NY;GREELEY SQUARE;STANDARD;NOT ACCEPTABLE
10001;NY;MACYS FINANCE;STANDARD;NOT ACCEPTABLE
10001;NY;MANHATTAN;STANDARD;NOT ACCEPTABLE
10002;NY;NEW YORK;STANDARD;PRIMARY
10002;NY;KNICKERBOCKER;STANDARD;ACCEPTABLE
10002;NY;MANHATTAN;STANDARD;NOT ACCEPTABLE
10002;NY;NEW YORK CITY;STANDARD;NOT ACCEPTABLE
10002;NY;NY;STANDARD;NOT ACCEPTABLE
10002;NY;NY CITY;STANDARD;NOT ACCEPTABLE
10002;NY;NYC;STANDARD;NOT ACCEPTABLE
10003;NY;NEW YORK;STANDARD;PRIMARY
10003;NY;COOPER;STANDARD;NOT ACCEPTABLE
10003;NY;MANHATTAN;STANDARD;NOT ACCEPTABLE
10004;NY;NEW YORK;STANDARD;PRIMARY
10004;NY;BOWLING GREEN;STANDARD;ACCEPTABLE
10005;NY;NEW YORK;STANDARD;PRIMARY
10005;NY;WALL STREET;STANDARD;ACCEPTABLE
10005;NY;MANHATTAN;STANDARD;NOT ACCEPTABLE
10005;NY;NYC;STANDARD;NOT ACCEPTABLE
10006;NY;NEW YORK;STANDARD;PRIMARY
10006;NY;TRINITY;STANDARD;ACCEPTABLE
10006;NY;MANHATTAN;STANDARD;NOT ACCEPTABLE
10006;NY;NYC;STANDARD;NOT ACCEPTABLE
10007;NY;NEW YORK;STANDARD;PRIMARY
10007;NY;CHURCH STREET;STANDARD;NOT ACCEPTABLE
10007;NY;MANHATTAN;STANDARD;NOT ACCEPTABLE
10007;NY;NYC;STANDARD;NOT ACCEPTABLE
10008;NY;NEW YORK;PO BOX;PRIMARY
10008;NY;MANHATTAN;PO BOX;NOT ACCEPTABLE
10008;NY;NYC;PO BOX;NOT ACCEPTABLE
10009;NY;NEW YORK;STANDARD;PRIMARY
10009;NY;MANHATTAN;STANDARD;NOT ACCEPTABLE
10009;NY;NYC;STANDARD;NOT ACCEPTABLE
10009;NY;PETER STUYVESANT;STANDARD;NOT ACCEPTABLE
10010;NY;NEW YORK;STANDARD;PRIMARY
10010;NY;MADISON SQUARE STA;STANDARD;NOT ACCEPTABLE
10010;NY;MANHATTAN;STANDARD;NOT ACCEPTABLE
10010;NY;NYC;STANDARD;NOT ACCEPTABLE
10011;NY;NEW YORK;STANDARD;PRIMARY
10012;NY;NEW YORK;STANDARD;PRIMARY
10012;NY;PRINCE;STANDARD;ACCEPTABLE
10012;NY;MANHATTAN;STANDARD;NOT ACCEPTABLE
10012;NY;NY CITY;STANDARD;NOT ACCEPTABLE
10012;NY;NYC;STANDARD;NOT ACCEPTABLE
10013;NY;NEW YORK;STANDARD;PRIMARY
10013;NY;CANAL STREET;STANDARD;ACCEPTABLE
10013;NY;CHINATOWN;STANDARD;ACCEPTABLE
10013;NY;MANHATTAN;STANDARD;NOT ACCEPTABLE
10013;NY;NYC;STANDARD;NOT ACCEPTABLE
10014;NY;NEW YORK;STANDARD;PRIMARY
10014;NY;MANHATTAN;STANDARD;NOT ACCEPTABLE
10014;NY;NYC;STANDARD;NOT ACCEPTABLE
10016;NY;NEW YORK;STANDARD;PRIMARY
10016;NY;MANHATTAN;STANDARD;NOT ACCEPTABLE
10016;NY;NYC;STANDARD;NOT ACCEPTABLE
10017;NY;NEW YORK;STANDARD;PRIMARY
10017;NY;GRAND CENTRAL;STANDARD;NOT ACCEPTABLE
10017;NY;MANHATTAN;STANDARD;NOT ACCEPTABLE
10017;NY;NYC;STANDARD;NOT ACCEPTABLE
10018;NY;NEW YORK;STANDARD;PRIMARY
10018;NY;MANHATTAN;STANDARD;NOT ACCEPTABLE
10018;NY;NYC;STANDARD;NOT ACCEPTABLE
10019;NY;NEW YORK;STANDARD;PRIMARY
10019;NY;MANHATTAN;STANDARD;NOT ACCEPTABLE
10019;NY;NYC;STANDARD;NOT ACCEPTABLE
10020;NY;NEW YORK;STANDARD;PRIMARY
10020;NY;MANHATTAN;STANDARD;NOT ACCEPTABLE
10020;NY;NYC;STANDARD;NOT ACCEPTABLE
10021;NY;NEW YORK;STANDARD;PRIMARY
10021;NY;MANHATTAN;STANDARD;NOT ACCEPTABLE
10021;NY;NYC;STANDARD;NOT ACCEPTABLE
10022;NY;NEW YORK;STANDARD;PRIMARY
10022;NY;FRANKLIN D ROOSEVELT;STANDARD;NOT ACCEPTABLE
10022;NY;MANHATTAN;STANDARD;NOT ACCEPTABLE
10022;NY;NYC;STANDARD;NOT ACCEPTABLE
10023;NY;NEW YORK;STANDARD;PRIMARY
10023;NY;MANHATTAN;STANDARD;NOT ACCEPTABLE
10023;NY;NYC;STANDARD;NOT ACCEPTABLE
10024;NY;NEW YORK;STANDARD;PRIMARY
10024;NY;MANHATTAN;STANDARD;NOT ACCEPTABLE
10024;NY;NYC;STANDARD;NOT ACCEPTABLE
10024;NY;PLANETARIUM;STANDARD;NOT ACCEPTABLE
10025;NY;NEW YORK;STANDARD;PRIMARY
10025;NY;MANHATTAN;STANDARD;NOT ACCEPTABLE
10025;NY;NYC;STANDARD;NOT ACCEPTABLE
10026;NY;NEW YORK;STANDARD;PRIMARY
10026;NY;MORNINGSIDE;STANDARD;NOT ACCEPTABLE
10026;NY;NYC;STANDARD;NOT ACCEPTABLE
10027;NY;NEW YORK;STANDARD;PRIMARY
10027;NY;MANHATTAN;STANDARD;NOT ACCEPTABLE
10027;NY;MANHATTANVILLE;STANDARD;NOT ACCEPTABLE
10027;NY;NY CITY;STANDARD;NOT ACCEPTABLE
10027;NY;NYC;STANDARD;NOT ACCEPTABLE
10028;NY;NEW YORK;STANDARD;PRIMARY
10028;NY;MANHATTAN;STANDARD;NOT ACCEPTABLE
10028;NY;NYC;STANDARD;NOT ACCEPTABLE
10029;NY;NEW YORK;STANDARD;PRIMARY
10029;NY;MANHATTAN;STANDARD;NOT ACCEPTABLE
10029;NY;NYC;STANDARD;NOT ACCEPTABLE
10030;NY;NEW YORK;STANDARD;PRIMARY
10030;NY;COLLEGE;STANDARD;NOT ACCEPTABLE
10030;NY;MANHATTAN;STANDARD;NOT ACCEPTABLE
10030;NY;NYC;STANDARD;NOT ACCEPTABLE
10031;NY;NEW YORK;STANDARD;PRIMARY
10031;NY;HAMILTON GRANGE;STANDARD;NOT ACCEPTABLE
10031;NY;MANHATTAN;STANDARD;NOT ACCEPTABLE
10031;NY;NYC;STANDARD;NOT ACCEPTABLE
10032;NY;NEW YORK;STANDARD;PRIMARY
10032;NY;MANHATTAN;STANDARD;NOT ACCEPTABLE
10032;NY;NYC;STANDARD;NOT ACCEPTABLE
10033;NY;NEW YORK;STANDARD;PRIMARY
10033;NY;MANHATTAN;STANDARD;NOT ACCEPTABLE
10033;NY;NYC;STANDARD;NOT ACCEPTABLE
10033;NY;WASHINGTON BRIDGE;STANDARD;NOT ACCEPTABLE
10034;NY;NEW YORK;STANDARD;PRIMARY
00612;PR;PARC RODRIGUEZ OLMO;STANDARD;NOT ACCEPTABLE
00612;PR;PARQ DE JARDINES;STANDARD;NOT ACCEPTABLE
00612;PR;PASEOS REALES;STANDARD;NOT ACCEPTABLE
00612;PR;REPTO MARQUEZ;STANDARD;NOT ACCEPTABLE
00612;PR;REPTO SAN JOSE;STANDARD;NOT ACCEPTABLE
00612;PR;REPTO SAN JUAN;STANDARD;NOT ACCEPTABLE
00612;PR;SECT ABRA;STANDARD;NOT ACCEPTABLE
00612;PR;SECT EL CANO;STANDARD;NOT ACCEPTABLE
00612;PR;SECT LAS ANIMAS;STANDARD;NOT ACCEPTABLE
00612;PR;SECT MUELLE;STANDARD;NOT ACCEPTABLE
00612;PR;URB ARECIBO GDNS;STANDARD;NOT ACCEPTABLE
00612;PR;URB COLLEGE PARK IV;STANDARD;NOT ACCEPTABLE
00612;PR;URB COSTAS DEL ATLANTICO;STANDARD;NOT ACCEPTABLE
00612;PR;URB EL PARAISO;STANDARD;NOT ACCEPTABLE
00612;PR;URB FACTOR;STANDARD;NOT ACCEPTABLE
00612;PR;URB GARCIA;STANDARD;NOT ACCEPTABLE
00612;PR;URB GARDEN VIEW;STANDARD;NOT ACCEPTABLE
00612;PR;URB LA MUCURA;STANDARD;NOT ACCEPTABLE
00612;PR;URB LAS BRISAS;STANDARD;NOT ACCEPTABLE
00612;PR;URB LOS LLANOS;STANDARD;NOT ACCEPTABLE
00612;PR;URB LOS PINOS;STANDARD;NOT ACCEPTABLE
00612;PR;URB LOS PINOS II;STANDARD;NOT ACCEPTABLE
00612;PR;URB MARISOL;STANDARD;NOT ACCEPTABLE
00612;PR;URB MARTELL;STANDARD;NOT ACCEPTABLE
00612;PR;URB OCEAN VW;STANDARD;NOT ACCEPTABLE
00612;PR;URB RADIOVILLE;STANDARD;NOT ACCEPTABLE
00612;PR;URB REGIONAL;STANDARD;NOT ACCEPTABLE
00612;PR;URB SAN DANIEL;STANDARD;NOT ACCEPTABLE
00612;PR;URB SAN FELIPE;STANDARD;NOT ACCEPTABLE
00612;PR;URB SAN LORENZO;STANDARD;NOT ACCEPTABLE
00612;PR;URB TANAMA;STANDARD;NOT ACCEPTABLE
00612;PR;URB UNIVERSITY GDNS;STANDARD;NOT ACCEPTABLE
00612;PR;URB VICTOR ROJAS 1;STANDARD;NOT ACCEPTABLE
00612;PR;URB VICTOR ROJAS 2;STANDARD;NOT ACCEPTABLE
00612;PR;URB VILLAMAR;STANDARD;NOT ACCEPTABLE
00612;PR;URB ZENO GANDIA;STANDARD;NOT ACCEPTABLE
00612;PR;VALLE ESCONDIDO;STANDARD;NOT ACCEPTABLE
00612;PR;VILLA LOS SANTOS;STANDARD;NOT ACCEPTABLE
00612;PR;VILLA LUCIA;STANDARD;NOT ACCEPTABLE
00612;PR;VILLA SERENA;STANDARD;NOT ACCEPTABLE
00612;PR;VILLA TOLEDO;STANDARD;NOT ACCEPTABLE
00612;PR;VILLAS DEL CAPITAN;STANDARD;NOT ACCEPTABLE
00612;PR;VILLAS DEL SOL;STANDARD;NOT ACCEPTABLE
00612;PR;VISTA AZUL;STANDARD;NOT ACCEPTABLE
00612;PR;VISTA DEL ATLANTICO;STANDARD;NOT ACCEPTABLE
00613;PR;ARECIBO;PO BOX;PRIMARY
00614;PR;ARECIBO;PO BOX;PRIMARY
00714;PR;ARROYO;STANDARD;PRIMARY
00714;PR;EXT JARD DE ARROYO;STANDARD;NOT ACCEPTABLE
00714;PR;JARD DE ARROYO;STANDARD;NOT ACCEPTABLE
00714;PR;JARD DE LAFAYETTE;STANDARD;NOT ACCEPTABLE
00714;PR;PARQ DE GUASIMAS;STANDARD;NOT ACCEPTABLE
00714;PR;QTAS DE GUASIMA;STANDARD;NOT ACCEPTABLE
00714;PR;REPTO BELLO MAR;STANDARD;NOT ACCEPTABLE
00714;PR;URB ARROYO DEL MAR;STANDARD;NOT ACCEPTABLE
00714;PR;URB BELINDA;STANDARD;NOT ACCEPTABLE
00714;PR;URB LAS 500;STANDARD;NOT ACCEPTABLE
00714;PR;URB MIRAMAR 1;STANDARD;NOT ACCEPTABLE
00714;PR;URB PALMAR 2;STANDARD;NOT ACCEPTABLE
00714;PR;URB SAN ANTONIO;STANDARD;NOT ACCEPTABLE
00714;PR;VILLAS DE LAFAYETTE;STANDARD;NOT ACCEPTABLE
00616;PR;BAJADERO;STANDARD;PRIMARY
00616;PR;BRISAS DEL VALLE;STANDARD;NOT ACCEPTABLE
00617;PR;BARCELONETA;STANDARD;PRIMARY
00617;PR;BDA CATALANA;STANDARD;NOT ACCEPTABLE
00617;PR;BRISAS DE LLANADAS;STANDARD;NOT ACCEPTABLE
00617;PR;BRISAS DEL MONTE;STANDARD;NOT ACCEPTABLE
00617;PR;EST DE BARCELONETA;STANDARD;NOT ACCEPTABLE
00617;PR;EST DE FLORIDA;STANDARD;NOT ACCEPTABLE
00617;PR;EXT EST DE IMBERY;STANDARD;NOT ACCEPTABLE
00617;PR;EXT PARC PUNTA PALMAS;STANDARD;NOT ACCEPTABLE
00617;PR;PARC GARROCHALES;STANDARD;NOT ACCEPTABLE
00617;PR;PARC IMBERY;STANDARD;NOT ACCEPTABLE
00617;PR;PARC MAGUEYES;STANDARD;NOT ACCEPTABLE
00617;PR;PARC PALENQUE;STANDARD;NOT ACCEPTABLE
00617;PR;PARC PUNTA PALMAS;STANDARD;NOT ACCEPTABLE
00617;PR;PARC TIBURON;STANDARD;NOT ACCEPTABLE
00617;PR;REPTO LAS LLANADAS;STANDARD;NOT ACCEPTABLE
00617;PR;URB CATALUNA;STANDARD;NOT ACCEPTABLE
00617;PR;URB CIMARRONA CT;STANDARD;NOT ACCEPTABLE
00617;PR;URB LAS DELICIAS;STANDARD;NOT ACCEPTABLE
00617;PR;URB LAS PRADERAS;STANDARD;NOT ACCEPTABLE
00617;PR;URB ORTEGA;STANDARD;NOT ACCEPTABLE
00617;PR;URB PLAZUELA ESTATES;STANDARD;NOT ACCEPTABLE
00617;PR;URB SOL NACIENTE;STANDARD;NOT ACCEPTABLE
00617;PR;VILLA BARCELONA;STANDARD;NOT ACCEPTABLE
00617;PR;VILLA CENTRAL;STANDARD;NOT ACCEPTABLE
00617;PR;VILLA GEORGETTI;STANDARD;NOT ACCEPTABLE
00617;PR;VILLAS DE LA SABANA;STANDARD;NOT ACCEPTABLE
00794;PR;BARRANQUITAS;STANDARD;PRIMARY
00794;PR;BDA ALEMANIA;STANDARD;NOT ACCEPTABLE
00794;PR;URB SAN CRISTOBAL;STANDARD;NOT ACCEPTABLE
00794;PR;VISTAS DE MONTECIELO;STANDARD;NOT ACCEPTABLE
00622;PR;BOQUERON;STANDARD;PRIMARY
00622;PR;VILLA TAINA;STANDARD;NOT ACCEPTABLE
00623;PR;CABO ROJO;STANDARD;PRIMARY
00623;PR;ALTS DE JOYUDA;STANDARD;NOT ACCEPTABLE
00623;PR;ALTS DEL MAR;STANDARD;NOT ACCEPTABLE
00623;PR;BO BALLAJA;STANDARD;NOT ACCEPTABLE
00623;PR;BO MONTE GRANDE;STANDARD;NOT ACCEPTABLE
00623;PR;EST DE MIRAMAR;STANDARD;NOT ACCEPTABLE
00623;PR;EST REALES;STANDARD;NOT ACCEPTABLE
00623;PR;EXT ELIZABETH;STANDARD;NOT ACCEPTABLE
00623;PR;EXT LA CONCEPCION;STANDARD;NOT ACCEPTABLE
00623;PR;EXT PARC ELIZABETH;STANDARD;NOT ACCEPTABLE
00623;PR;EXT SIERRA LINDA;STANDARD;NOT ACCEPTABLE
00623;PR;HACIENDAS DE BELVEDERE;STANDARD;NOT ACCEPTABLE
00623;PR;HACIENDAS DE CABO ROJO;STANDARD;NOT ACCEPTABLE
00623;PR;HACIENDAS DE MIRAMAR;STANDARD;NOT ACCEPTABLE
00623;PR;JARD DEL PUERTO;STANDARD;NOT ACCEPTABLE
00623;PR;MANS DE CABO ROJO;STANDARD;NOT ACCEPTABLE
00623;PR;MANSIONES;STANDARD;NOT ACCEPTABLE
00623;PR;PARC BETANCES;STANDARD;NOT ACCEPTABLE
00623;PR;PARC ELIZABETH;STANDARD;NOT ACCEPTABLE
00623;PR;PARC LAS MARGARITAS;STANDARD;NOT ACCEPTABLE
00623;PR;PARC LAS 35;STANDARD;NOT ACCEPTABLE
00623;PR;PARC PUERTO REAL;STANDARD;NOT ACCEPTABLE
00623;PR;QTAS DE CABO ROJO;STANDARD;NOT ACCEPTABLE
00623;PR;REPTO MIRADERO;STANDARD;NOT ACCEPTABLE
